Step Number,Mean,Standard Deviation,Standard Error
0,-0.00021322413958623334,0.06477799847313867,0.0003173486244351058
1,-0.0007432744203907268,0.5656160272811005,0.0027709634821541807
2,-0.0006194646954351269,0.5610982736644476,0.002748830922804172
3,-0.00026133178130850076,0.1431902821232339,0.0007014918666115626
4,-0.0002861175058800942,0.12630462225458045,0.0006187687035268264
5,-0.00021949601593625507,0.12195588123759864,0.0005974641400594021
6,-0.00023209580953295264,0.12066155548569288,0.0005911232140255643
7,-0.0002503779580473289,0.11893026843144884,0.0005826416064100638
8,-0.0006603047088753419,0.1149509246075949,0.0005631467266913266
9,-0.0005986637546200739,0.1382962665542395,0.0006775159929292599
10,-0.0005261236739787837,0.16415029607382234,0.0008041753664439645
11,-0.00026701416022656367,0.06454328186627484,0.00031619874339407304
12,-0.0005602254836077376,0.1847852948967398,0.0009052666110953154
13,-0.0005621005376086018,0.17084780699017998,0.000836986597518456
14,-0.0005198528776460421,0.25857207850811076,0.0012667494421875617
15,-9.732594921518735e-05,0.2793929360643477,0.0013687512122448901
16,-0.0001969933758940143,0.24678203430449885,0.001208989795421124
17,-0.00019687908606537725,0.19070492648835038,0.00093426699682874
18,-0.00016429930878894075,0.22804616206462708,0.0011172024073717584
19,-0.00030809326549224777,0.12386036710229939,0.0006067942518823154
20,-0.0005134047664762638,0.12938764847292455,0.000633872506554865
21,-0.0007227101713627417,0.13084985478670494,0.0006410358825969782
22,-0.0002365467287476599,0.06392665426501243,0.00031317787325819675
23,-0.0006798756060096961,0.13605512874356065,0.000666536616935058
24,-0.0006209240387846205,0.13861929485608068,0.0006790985146134614
25,-0.000664758172130754,0.13936223208229756,0.0006827381779611848
26,-0.0005787399558392934,0.14350105084246514,0.000703014328371575
27,-0.0006054602313637018,0.14506928206188174,0.0007106971224067198
28,-0.0006276082657322517,0.14981804939995208,0.0007339614222927975
29,-0.000582605385686171,0.15383086882871658,0.0007536202996252446
30,-6.216953871261931e-05,0.15040623002212136,0.0007368429301467675
31,-0.00010143018288292619,0.15227397359123385,0.0007459930407773259
32,-0.00016201370421926753,0.15663259551966677,0.0007673460110145037
33,-0.0006854999519992318,0.06304775168832362,0.00030887211311896793
34,-0.00022125471607545739,0.15898759591841477,0.0007788832019543674
35,-0.00013517733883742147,0.1582505442743623,0.0007752723721835977
36,-0.00028664527432438914,0.153198371530217,0.0007505216835461913
37,-0.0006528616857869728,0.1565973611579665,0.0007671733972184311
38,-0.00016418293092689484,0.15980166520689898,0.000782871342603734
39,-0.0005462790284644555,0.15591074834001442,0.0007638096681988172
40,-0.0002532467479479672,0.1548166735224607,0.0007584497752326315
41,-0.00028957296116737864,0.15184081600314717,0.000743870993662827
42,-0.00037031884510152155,0.1519294664697776,0.0007443052939546516
43,-0.00027076486823789174,0.14934943512567747,0.0007316656722104085
44,-0.0006750691931070897,0.06440091828303798,0.00031550130154074684
45,-0.0004855152162434599,0.1470533469277031,0.0007204170932424894
46,-0.0002594580953295253,0.1367380409719065,0.0006698822166970719
47,-0.00031306991311861,0.13653982232422157,0.0006689111398397608
48,-0.00031301320021120347,0.13398618717131033,0.0006564008335291767
49,-0.00037512127394038303,0.13548914550914043,0.0006637638544982706
50,-0.0003238560216963472,0.1290856336380657,0.0006323929302378969
51,-0.00029379242067873086,0.12620931121428539,0.0006183017729602134
52,-0.0006189967599481592,0.12257274302883427,0.0006004861574963313
53,-0.0005705948975183603,0.12379016638527286,0.0006064503372584023
54,-0.0005053781980511688,0.1190913508823056,0.0005834307523454887
55,-0.0006003611097777565,0.0642358786588716,0.00031469276933936667
56,-0.0004555738971823549,0.11675510185360952,0.0005719854247177449
57,-0.0003852009792156675,0.11540786273930646,0.0005653852751332138
58,-0.0003029339989439831,0.11593406133686061,0.0005679631318909018
59,-0.000416316061056977,0.11544068588766335,0.0005655460763500808
60,-0.0004711591945471126,0.11340676321401974,0.0005555818511825523
61,-0.0004919586713387415,0.11250376994045064,0.0005511580702693439
62,-0.0004924295828733258,0.10880259305119351,0.0005330259355587631
63,-0.0003305333365333844,0.10772153628167935,0.0005277298182530726
64,-0.0003972127634042145,0.10812637139873273,0.0005297131130529759
65,-0.00046605908894542335,0.10553430308515441,0.000517014521970434
66,-0.0006712042912686603,0.06495127994663673,0.0003181975336103021
67,-0.0004045364805836894,0.10612716618936716,0.0005199189693913937
68,-0.00027275949215187434,0.10361210812793833,0.0005075976529725201
69,-0.00043987222195555133,0.10261874137740613,0.0005027311307076852
70,-0.0004900869533912543,0.10220776166955657,0.0005007177334427036
71,-0.00035039684634954166,0.102493473449315,0.0005021174407882283
72,-0.00043078867661882584,0.10180701680161544,0.0004987544768495985
73,-0.0005313957423318773,0.10540204243621633,0.0005163665745809388
74,-0.0005829609273748379,0.14510325242466293,0.000710863543848479
75,-0.000596085681370902,0.12093298663993968,0.0005924529603199759
76,-0.0002786183698939183,0.10337518992517183,0.000506436986272039
77,-0.0006978049488791819,0.06413321784946033,0.0003141898321165753
78,-0.00030621434742955867,0.10247385892532948,0.0005020213488688657
79,-0.00026021905150482407,0.10210638914055054,0.0005002211075296798
80,-0.0004477227715643451,0.10590203189732307,0.0005188160322896402
81,-0.00034049335189363026,0.11529674566740747,0.0005648409105225501
82,-0.00034963265012240204,0.11404864044839061,0.0005587264197426363
83,-0.0003490477847645564,0.10841576814538152,0.0005311308731201238
84,-0.00036029962079393266,0.10758790835604838,0.0005270751725495211
85,-0.0004664705755292085,0.1086308894821927,0.0005321847565671707
86,-0.00028529640474247585,0.10690702477506231,0.0005237395111688136
87,-0.0003835017760284165,0.11158746270622524,0.0005466690640142039
88,-0.0006852066433062928,0.06492900897541025,0.0003180884277062892
89,-0.00028488820621129935,0.11037305876291678,0.0005407196764134537
90,-0.00037002616041856653,0.11147438152276387,0.0005461150771843108
91,-0.00033639291028656474,0.11580701395530281,0.0005673407243956754
92,-0.00030451732827725247,0.12342933674152783,0.0006046826260941653
93,-0.000261273748379974,0.14552285009150942,0.0007129191606555516
94,-0.00020309072145154318,0.2561369040456337,0.0012548194770120086
95,-0.00039399239187827014,0.35126610752398124,0.0017208592216635713
96,-0.00033539507032112517,0.3210522189763015,0.0015728408173373287
97,-0.00021287582201315238,0.19101695312478104,0.0009357956211486075
98,-0.0002559998079969279,0.1507850002897727,0.0007386985327626143
99,-0.00017414217827485236,0.06353499192263905,0.0003112591121274902
100,-0.00030990678250852037,0.1094264749356434,0.0005360823445634693
101,-0.00030932254116065866,0.08096325114653903,0.00039664047958818077
102,-0.00038742495079921273,0.06808221241190988,0.00033353603023683284
103,-0.0003167622521960351,0.06601284874106127,0.00032339817896203456
104,-0.0005754589353429653,0.06628514327169872,0.00032473215495351
105,-0.0005364960159362549,0.06643703264433524,0.00032547626382702663
106,-0.0006863809100945613,0.06411805971311157,0.00031411557212348103
107,-0.0006970991695867134,0.06384584151696783,0.00031278197009611605
108,-0.0006857331397302357,0.06395756321420927,0.00031332929677762547
109,-0.0007260449527192435,0.06473466897914666,0.0003171363524347362
110,-0.0007122166034656553,0.0649838542231309,0.0003183571155992652
111,-0.0006932908846541546,0.06457691799373576,0.0003163635274107554
112,-0.0007562256516104259,0.0644791450196269,0.0003158845357844049
113,-0.0007824139106225701,0.06325376215050284,0.0003098813622210211
114,-0.0006684501032016512,0.06376340813084035,0.0003123781273977972
115,-0.0007156162338597418,0.06410794365296531,0.000314066013355878
116,-0.00038121605145682337,0.06277667675420666,0.0003075441119536259
117,-0.0008321043776700427,0.0644438543346237,0.00031571164605941933
118,-0.00024914544232707724,0.06467102872262355,0.00031682457762936486
119,-0.0003319963999423991,0.06477999273442686,0.0003173583943584052
120,-0.00042035779772476374,0.06488659864255872,0.00031788065869351476
121,-0.00041660732971727545,0.06397986470402459,0.0003134385521927751
122,-0.0004948916142658282,0.06404634955848075,0.0003137642627365515
123,-0.00040764275428406847,0.06473669124770322,0.00031714625956616644
124,-0.00036105983295732735,0.06427665993447185,0.0003148925575702397
125,-0.00033457720923534787,0.06504456660616549,0.0003186545466977298
126,-0.0002442801324821197,0.06482541973259505,0.00031758094207091084
127,-0.0002039664954639274,0.06509443056838635,0.0003188988311800025
128,-0.0002321510104161665,0.06450849969464822,0.0003160283448856173
129,-0.00021410490567849084,0.06420572238431324,0.00031454503318705017
130,-0.000279206691307061,0.06448342925287762,0.00031590552432312057
131,-0.00028207420918734713,0.06447925706979651,0.0003158850847202787
132,-0.00027750446407142515,0.06410996445973423,0.0003140759133259833
133,-0.00023197619161906591,0.06520773259732399,0.0003194538999360089
134,-0.00022734692555080886,0.06426530775632935,0.0003148369430374851
135,-9.867335477367652e-05,0.06395422487737737,0.00031331294220313295
136,-0.00018855548888782213,0.0653789022004881,0.00032029246301899393
137,-0.0002402946287140594,0.06505455322030439,0.00031870347130692495
138,-0.0002484423990783852,0.06442764802150633,0.0003156322510287579
139,-0.00027117652282436527,0.06495459506391643,0.0003182137744317747
140,-0.00030650588009408143,0.06339037275275619,0.00031055062011305567
141,-0.00026267707483319726,0.06382566236200483,0.0003126831120390486
142,-0.0001818191811068976,0.064142192033118,0.0003142337968099329
143,-0.0002159232467719484,0.06453855625511838,0.0003161755925367532
144,-0.00024809249747995957,0.0645678406016847,0.0003163190570975509
145,-0.00020355716891470255,0.0652041098156697,0.00031943615186101864
146,-0.0001531063937022993,0.06469576932168364,0.000316945782286262
147,-0.0006761848989583833,0.06541305444318751,0.0003204597754938696
148,-0.0005966096817549081,0.0641344435673394,0.00031419583693135866
149,-0.0006021792108673738,0.06486531567595534,0.00031777639304260424
150,-0.0005957320837133394,0.0648366444732964,0.00031763593228526107
151,-0.00026057276916430667,0.06416536736386745,0.0003143473331881403
152,-0.0006056935390966256,0.06444096113299627,0.00031569747221060773
153,-0.00028957351317621084,0.06393073088589543,0.0003131978447000452
154,-0.0002816653866461864,0.06486345170868182,0.00031776726143211635
155,-0.00037096248739979844,0.06497321974144651,0.0003183050170748639
156,-9.703321653146468e-05,0.0646311231216618,0.00031662907934490155
157,-0.0006366304900878414,0.0651891904182573,0.0003193630614544327
158,-0.0005803845821533145,0.06471410675644357,0.00031703561772165515
159,-0.0006298918782700523,0.06509777216234044,0.0003189152017111975
160,-0.0005499694715115441,0.06490348617091943,0.00031796339101037695
161,-0.0005626819469111507,0.06488833457246326,0.0003178891630465406
162,-0.00025348053568857097,0.06385756918733947,0.0003128394241723146
163,-0.0006114965199443192,0.06463535837526291,0.0003166498279313989
164,-0.0005471009216147458,0.06470267446901731,0.0003169796107320231
165,-0.0005927425238803822,0.06514459886904297,0.0003191446066219565
166,-0.0005924519032304517,0.06517323709085765,0.0003192849058055276
167,-0.0005817860125762011,0.06540421582646389,0.00032041647494545397
168,-0.0002666049536792588,0.06532154926724466,0.00032001148992780355
169,-0.0002732861085777374,0.06448725589754943,0.00031592427112684133
170,-0.000762668458695339,0.06493690853933208,0.0003181271278174893
171,-0.00030246659146546334,0.06505148005865896,0.0003186884158306239
172,-0.00039422673162770597,0.06511741980637036,0.0003190114558862762
173,-0.000244456895310325,0.06438543241420246,0.00031542543598007847
174,-0.0005899873997983966,0.0654220546393272,0.00032050386762286237
175,-0.0005547753084049344,0.06594584895635437,0.000323069945765342
176,-0.0005528402054432872,0.0654842385291786,0.0003208085076607072
177,-0.0005323335093361493,0.06460683220476202,0.00031651007768930685
178,-0.0005933303652858445,0.06503949115122268,0.00031862968194916626
179,-0.0006252648442375079,0.06511331574764398,0.00031899135002592065
180,-0.0005718238851821631,0.06670186461959261,0.00032677368062031037
181,-0.0005186810588969424,0.06543579010966694,0.00032057115794860614
182,-0.0005241301300820814,0.0657954738271583,0.00032233325519872294
183,-0.0005944444391110258,0.06492950549714274,0.00031809086017553067
184,-0.00027234925358805747,0.06375169637099938,0.00031232075126758557
185,-0.0005421753228051649,0.06470779539631448,0.00031700469825049997
186,-0.0005805569049104786,0.06578220584185604,0.00032226825509090945
187,-0.0005285199203187251,0.06644533973246344,0.0003255169604069254
188,-8.343558296932753e-05,0.06602432799782423,0.0003234544160553244
189,-0.0005455144242307876,0.06814992460919138,0.00033386775355603464
190,-0.0007618464215427448,0.09129262742805565,0.00044724428692210436
191,-0.0007156751548024768,0.09059481965111951,0.00044382571358932957
192,-0.00033293181490903843,0.09328655819475075,0.0004570125909905284
193,-0.0002112324917198674,0.17174054317437404,0.0008413601287592354
194,-0.0006888989103825655,0.41907059366390625,0.0020530346657066144
195,-0.00018539192627082033,0.06493378149496717,0.00031811180836873907
